natx =       23
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.00000      0.00000     -1.66331   3      1.66331
      0.00000      0.00000      1.66343   3      1.66343
      0.00000      6.51161      2.65652   2      7.03265
     -5.63923     -3.25582      2.65652   2      7.03267
      5.63923     -3.25582      2.65652   2      7.03267
      0.00000      6.51161     -2.65686   1      7.03278
     -5.63923     -3.25582     -2.65686   1      7.03279
      5.63923     -3.25582     -2.65686   1      7.03279
     -5.63923      3.25580      3.64961   3      7.46464
      5.63923      3.25580      3.64961   3      7.46464
      0.00000     -6.51163      3.64961   3      7.46465
     -5.63923      3.25580     -3.65041   3      7.46503
      5.63923      3.25580     -3.65041   3      7.46503
      0.00000     -6.51163     -3.65041   3      7.46504
     -5.63923      3.25580      5.31304   2      8.40414
      5.63923      3.25580      5.31304   2      8.40414
      0.00000     -6.51163      5.31304   2      8.40415
     -5.63923      3.25580     -5.31372   2      8.40457
      5.63923      3.25580     -5.31372   2      8.40457
      0.00000     -6.51163     -5.31372   2      8.40458
      0.00000      0.00000     -8.96334   3      8.96334
      0.00000      0.00000      8.96345   3      8.96345
